рр.	S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД
кам.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
кам.-уг.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
канд.	S@ЕД@МУЖ@ВИН@ОД,S@ЕД@МУЖ@РОД@ОД,S@ЕД@МУЖ@ИМ@ОД,S@ЕД@МУЖ@ДАТ@ОД,S@МН@МУЖ@ИМ@ОД,S@ЕД@МУЖ@ТВОР@ОД,S@МН@МУЖ@РОД@ОД,S@ЕД@МУЖ@ПР@ОД,S@МН@МУЖ@ТВОР@ОД,S@МН@МУЖ@ВИН@ОД,S@МН@МУЖ@ДАТ@ОД,S@МН@МУЖ@ПР@ОД,S@ЕД@МУЖ@ЗВ@ОД,S@ЕД@ДАТ@МУЖ@ОД
кв.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД,S@ЕД@ЖЕН@ПР@НЕОД,S@ЕД@ЖЕН@ДАТ@НЕОД,S@ЕД@ЖЕН@РОД@НЕОД,S@ЕД@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@ЕД@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@МЕСТН@НЕОД
кв._м.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
кирп.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
кл.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
конгр.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
конф.	S@ЕД@ЖЕН@ПР@НЕОД,S@ЕД@ЖЕН@ДАТ@НЕОД,S@ЕД@ЖЕН@РОД@НЕОД,S@ЕД@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@ЕД@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@МЕСТН@НЕОД
коэф.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
кр.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
куб.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
куст.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
лаб.	S@ЕД@ЖЕН@ПР@НЕОД,S@ЕД@ЖЕН@ДАТ@НЕОД,S@ЕД@ЖЕН@РОД@НЕОД,S@ЕД@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@ЕД@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД,S@ЕД@ЖЕН@МЕСТН@НЕОД,A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
лев.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
лесообр.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
лесопил.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
леч.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
льнообр.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
м.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД,S@ЕД@СРЕД@ВИН@НЕОД,S@МН@СРЕД@ИМ@НЕОД,S@ЕД@СРЕД@РОД@НЕОД,S@МН@СРЕД@РОД@НЕОД,S@ЕД@СРЕД@ИМ@НЕОД,S@МН@СРЕД@ПР@НЕОД,S@ЕД@СРЕД@ТВОР@НЕОД,S@ЕД@СРЕД@ПР@НЕОД,S@МН@СРЕД@ДАТ@НЕОД,S@ЕД@СРЕД@ДАТ@НЕОД,S@МН@СРЕД@ТВОР@НЕОД,S@МН@СРЕД@ВИН@НЕОД,S@ЕД@ИМ@СРЕД@НЕОД,S@МН@ИМ@СРЕД@НЕОД
м._кв.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
магн.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
макс.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
матем.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
маш.-строит. 	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
мед.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
междунар.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
металлообр.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
